name,pose1,pose2,pose3,pose4,pose5,pose6,pose7,pose8,pose9,pose10,pose11,pose12,pose13,pose14,pose15,pose16
mol4_prepared,-38.936199,,,,,,,,,,,,,,,
mol3_prepared,-37.400841,,,,,,,,,,,,,,,
mol2_prepared,-26.893784,,,,,,,,,,,,,,,
aspirin_prepared,-24.699368,,,,,,,,,,,,,,,
mol1_prepared,-22.208818,,,,,,,,,,,,,,,
