name,pose1,pose2,pose3,pose4,pose5,pose6,pose7,pose8,pose9,pose10,pose11,pose12,pose13,pose14,pose15,pose16
mol4_prepared,-43.573483,,,,,,,,,,,,,,,
mol3_prepared,-42.908268,,,,,,,,,,,,,,,
mol2_prepared,-27.891951,,,,,,,,,,,,,,,
aspirin_prepared,-25.469151,,,,,,,,,,,,,,,
mol1_prepared,-23.838364,,,,,,,,,,,,,,,
