name,pose1,pose2,pose3,pose4,pose5,pose6,pose7,pose8
mol4_prepared,-7.669,-7.482,-7.474,-7.442,-7.387,-7.361,-7.234,-7.154
mol3_prepared,-7.474,-7.410,-7.384,-7.341,-7.256,-7.252,-7.210,-7.167
mol2_prepared,-5.396,-5.361,-5.101,-5.096,-5.060,-5.033,-4.976,-4.948
aspirin_prepared,-5.063,-5.045,-5.044,-5.015,-4.934,-4.873,-4.822,-4.755
mol1_prepared,-4.975,-4.956,-4.855,-4.816,-4.772,-4.739,-4.684,-4.649
