name,pose1,pose2,pose3,pose4,pose5,pose6,pose7,pose8,pose9,pose10,pose11,pose12,pose13,pose14,pose15,pose16
mol4_prepared,-6.599,-6.267,-5.998,-5.675,-5.502,-5.485,-5.046,-5.035,-5.018,-4.818,-4.780,-4.659,-4.579,-4.423,,
mol3_prepared,-6.530,-6.289,-6.093,-6.032,-5.969,-5.826,-5.703,-5.530,-5.523,-5.500,-5.492,-5.489,-5.482,-5.469,-5.358,
mol2_prepared,-4.906,-4.882,-4.845,-4.792,-4.665,-4.559,-4.406,-4.399,-4.386,-4.338,-4.327,-4.321,-4.310,-4.253,-4.226,-4.170
mol1_prepared,-4.596,-4.343,-4.235,-4.198,-4.139,-4.126,-4.095,-4.015,-4.002,-3.930,-3.927,-3.819,-3.788,-3.751,-3.739,-3.612
aspirin_prepared,-4.534,-4.490,-4.447,-4.349,-4.276,-4.243,-4.090,-4.079,-4.056,-4.055,-4.035,-3.985,-3.982,-3.976,-3.960,-3.924
