#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0      547    0.547    1.144    0.150      583    1.067
       1      425    0.425    1.144    0.159      313    0.975
       2       23    0.023    1.037    0.000       41    1.288
       3        4    0.004    0.000    0.000      611    1.216
       4        1    0.001    0.000    0.000      141    1.569
