name,pose1,pose2,pose3,pose4,pose5,pose6,pose7,pose8
mol3_prepared,-7.031,-6.734,-6.720,-6.701,-6.696,-6.673,-6.658,-6.604
mol4_prepared,-6.957,-6.937,-6.916,-6.900,-6.860,-6.814,-6.785,-6.681
mol2_prepared,-5.451,-5.240,-5.116,-5.094,-4.771,-4.730,-4.714,-4.656
aspirin_prepared,-5.054,-5.037,-4.926,-4.707,-4.694,-4.673,-4.596,-4.534
mol1_prepared,-4.769,-4.728,-4.704,-4.632,-4.611,-4.553,-4.531,-4.505
