#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
80.0%,400000,800.0,-40241.27,7466.277,-32774.994,292.742,31.306,0.977,1.4e+03,0:12
81.0%,405000,810.0,-40634.613,7765.346,-32869.267,304.468,31.004,0.986,1.4e+03,0:11
82.0%,410000,820.0,-40776.288,7739.87,-33036.418,303.469,30.776,0.993,1.4e+03,0:11
83.0%,415000,830.0,-40912.709,7657.442,-33255.267,300.238,30.873,0.99,1.4e+03,0:10
84.0%,420000,840.0,-41046.204,7653.741,-33392.462,300.092,30.934,0.988,1.4e+03,0:09
85.0%,425000,850.0,-40777.074,7672.669,-33104.405,300.835,31.212,0.98,1.4e+03,0:09
86.0%,430000,860.0,-40458.193,7727.274,-32730.919,302.976,31.532,0.97,1.4e+03,0:08
87.0%,435000,870.0,-40839.03,7654.652,-33184.378,300.128,31.429,0.973,1.4e+03,0:08
88.0%,440000,880.0,-40618.843,7607.24,-33011.603,298.269,31.496,0.971,1.4e+03,0:07
89.0%,445000,890.0,-40943.463,7695.867,-33247.596,301.744,31.012,0.986,1.4e+03,0:06
90.0%,450000,900.0,-40743.612,7718.359,-33025.253,302.626,31.175,0.981,1.4e+03,0:06
91.0%,455000,910.0,-40993.621,7723.391,-33270.231,302.823,30.869,0.99,1.4e+03,0:05
92.0%,460000,920.0,-40834.999,7823.209,-33011.79,306.737,30.809,0.992,1.4e+03,0:04
93.0%,465000,930.0,-40581.034,7877.209,-32703.825,308.854,31.161,0.981,1.4e+03,0:04
94.0%,470000,940.0,-40893.165,7522.245,-33370.92,294.937,30.698,0.996,1.4e+03,0:03
95.0%,475000,950.0,-41065.635,7460.536,-33605.099,292.517,30.242,1.011,1.4e+03,0:03
96.0%,480000,960.0,-40563.199,7958.545,-32604.654,312.043,30.868,0.99,1.4e+03,0:02
97.0%,485000,970.0,-40378.91,7937.664,-32441.246,311.225,30.811,0.992,1.4e+03,0:01
98.0%,490000,980.0,-40683.61,7743.958,-32939.651,303.63,30.941,0.988,1.4e+03,0:01
99.0%,495000,990.0,-40436.083,7507.252,-32928.831,294.349,30.727,0.995,1.4e+03,0:00
100.0%,500000,1000.0,-40649.761,7551.529,-33098.232,296.085,31.407,0.973,1.4e+03,0:00
101.0%,505000,1010.0,-40988.065,7458.393,-33529.671,292.433,30.891,0.99,1.4e+03,0:00
102.0%,510000,1020.0,-40541.305,7732.197,-32809.108,303.169,30.914,0.989,1.4e+03,23:59:59
103.0%,515000,1030.0,-40877.194,7790.23,-33086.964,305.444,30.739,0.995,1.4e+03,23:59:59
104.0%,520000,1040.0,-40688.455,7424.179,-33264.275,291.092,30.862,0.991,1.4e+03,23:59:58
105.0%,525000,1050.0,-40533.202,7769.168,-32764.035,304.618,31.445,0.972,1.4e+03,23:59:57
106.0%,530000,1060.0,-40773.306,7493.533,-33279.773,293.811,31.188,0.98,1.4e+03,23:59:57
107.0%,535000,1070.0,-40678.993,7762.732,-32916.261,304.366,31.313,0.976,1.4e+03,23:59:56
108.0%,540000,1080.0,-40534.589,7771.959,-32762.63,304.728,30.681,0.997,1.4e+03,23:59:56
109.0%,545000,1090.0,-40565.596,7633.797,-32931.799,299.31,31.12,0.982,1.4e+03,23:59:55
110.0%,550000,1100.0,-40619.57,7678.697,-32940.873,301.071,31.684,0.965,1.4e+03,23:59:54
111.0%,555000,1110.0,-40911.923,7658.765,-33253.157,300.289,30.897,0.99,1.4e+03,23:59:54
112.0%,560000,1120.0,-40883.347,7709.829,-33173.518,302.292,30.726,0.995,1.4e+03,23:59:53
113.0%,565000,1130.0,-40539.048,7881.751,-32657.297,309.032,31.371,0.975,1.4e+03,23:59:52
114.0%,570000,1140.0,-40664.357,7466.611,-33197.747,292.755,30.671,0.997,1.4e+03,23:59:52
115.0%,575000,1150.0,-40941.771,7709.862,-33231.91,302.293,30.954,0.988,1.4e+03,23:59:51
116.0%,580000,1160.0,-40913.635,7605.868,-33307.768,298.215,30.907,0.989,1.4e+03,23:59:51
117.0%,585000,1170.0,-40551.321,7532.476,-33018.844,295.338,31.356,0.975,1.4e+03,23:59:50
118.0%,590000,1180.0,-40575.943,7649.59,-32926.353,299.93,30.875,0.99,1.4e+03,23:59:49
119.0%,595000,1190.0,-40762.126,7749.123,-33013.003,303.832,31.021,0.986,1.4e+03,23:59:49
120.0%,600000,1200.0,-40551.902,7735.18,-32816.722,303.286,31.074,0.984,1.4e+03,23:59:48
